Id;Host;AppName;EventName;EventLevelId;StatusId;StartTime;EndTime;Message;ParentEventId;EventCount
15321;HostCPTDEV01;App.SQL Processing;Update.AOI.LocalMunicipality;2;2;2021-08-02 16:38:23.7266667;2021-08-02 16:38:23.8433333;Completed Update.AOI.LocalMunicipality;15317;0
15322;HostCPTDEV01;App.SQL Processing;Update.AOI.Property;2;2;2021-08-02 16:38:23.8466667;2021-08-02 16:38:25.2366667;Completed Update.AOI.Property;15317;0
15323;HostCPTDEV01;App.SQL Processing;Refresh.Township.Chart;2;2;2021-08-02 16:38:25.2400000;2021-08-02 16:38:25.4833333;Completed Refresh.Township.Chart;15317;0
15324;HostCPTDEV01;App.SQL Processing;Refresh.PropertyType.Chart;2;2;2021-08-02 16:38:25.4866667;2021-08-02 16:38:25.6966667;Completed Refresh.PropertyType.Chart;15317;0
15325;HostCPTDEV01;App.SQL Processing;Refresh.Located.Chart;2;2;2021-08-02 16:38:25.7033333;2021-08-02 16:38:25.7333333;Completed Refresh.Located.Chart;15317;0
15326;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Transfers;2;2;2021-08-02 16:38:25.7400000;2021-08-02 16:38:25.9400000;Completed Refresh.Notifications.Transfers;15317;0
15327;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Subdivisions;2;2;2021-08-02 16:38:25.9433333;2021-08-02 16:38:25.9666667;Completed Refresh.Notifications.Subdivisions;15317;0
15328;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Consolidations;2;2;2021-08-02 16:38:25.9733333;2021-08-02 16:38:25.9966667;Completed Refresh.Notifications.Consolidations;15317;0
15329;HostCPTDEV01;App.SQL Processing;AreaOfInterest.Process.CurrentArea;2;2;2021-08-02 16:38:26.0100000;2021-08-02 16:38:28.5800000;Completed AreaOfInterest.Process.CurrentArea Area of Interest 539;15040;11
15330;HostCPTDEV01;App.SQL Processing;Delete.Moved.Properties;2;2;2021-08-02 16:38:26.0200000;2021-08-02 16:38:26.1000000;Completed Delete.Moved.Properties;15329;0
15331;HostCPTDEV01;App.SQL Processing;Update.AOI.Ward;2;2;2021-08-02 16:38:26.1033333;2021-08-02 16:38:26.3166667;Completed Update.AOI.Ward;15329;0
15332;HostCPTDEV01;App.SQL Processing;Update.AOI.Suburb;2;2;2021-08-02 16:38:26.3200000;2021-08-02 16:38:26.3766667;Completed Update.AOI.Suburb;15329;0
15333;HostCPTDEV01;App.SQL Processing;Update.AOI.LocalMunicipality;2;2;2021-08-02 16:38:26.3800000;2021-08-02 16:38:26.4733333;Completed Update.AOI.LocalMunicipality;15329;0
15334;HostCPTDEV01;App.SQL Processing;Update.AOI.Property;2;2;2021-08-02 16:38:26.4800000;2021-08-02 16:38:27.8133333;Completed Update.AOI.Property;15329;0
15335;HostCPTDEV01;App.SQL Processing;Refresh.Township.Chart;2;2;2021-08-02 16:38:27.8200000;2021-08-02 16:38:28.0633333;Completed Refresh.Township.Chart;15329;0
